"user_id","total_spent","number_of_scans"
"605bdfc2f4bbc2010444c5e4",48.25,6
"62f512be92710024adff69c0",47.79,6
"648a469d5fc6961b04760885",47.17,6
"64484be3347839fdfa9a1cef",47.14,6
"6576720fbf55907b9d4615f9",46.49,6
"6428a0c83d4434e63c1953dc",45.34,6
"62b0faa3cc43018bbbf98bb6",45.24,6
"602b2fcaed583b12c5ea6277",45.22,6
"652eae3aa65d634c1c297f30",45.06,6
"5e21e12484ba3a132b31c4c4",45.05,6
"61a26fe69c135b462ccd10d6",44.74,6
"666c8e56465f309038aadf85",44.71,6
"65270cc4bc349041b1067a8f",44.50,6
"62a7a0747432fcef96d7f357",44.42,6
"63040e152f095fa4372772fc",44.06,6
"600c80a14b9e59126fc3c4cc",43.94,6
"5e336562d92b631337e91847",43.89,6
"64fbc0e3791f8099cbbd51cb",43.32,6
"64a5b765e59a088dc6e244bc",42.00,6
"60a6a267b9d23e3e0caf176a",41.52,6
"5e13f3a0fa89011209982ece",41.22,6
"5fb976b8caf4501296d89728",40.84,6
"63f3efd3a4f8442c33809063",40.72,6
"5a0ef554e4b079ce0ce2b3d7",40.66,6
"637021aed55f5b4e9fb1a53b",40.44,6
"620c3559148c183de3a93808",40.34,6
"60e12adc93379249ca129c7b",39.95,6
"6670b3b486cc41b000cbc628",39.91,6
"633e2d341aaccf0b21668b61",39.90,6
"667c7e2f465f309038ad154b",39.90,6
"5e1fc5c208c7fc132e3e635f",39.86,6
"5d601f63d09cf758bd0cc77c",39.86,6
"631744a8b2906b770eabf584",39.46,6
"65ea063d16cc39173214dcf9",39.43,6
"62efba9d678af3b6c9704292",39.40,6
"65c7c0fffe555d15f287f8ed",39.26,6
"5e1219c0f3aee111fbbcea0e",38.94,6
"6316dc57b2906b770eabdb6a",38.92,6
"651127a061fe168f0fd8df8c",38.90,6
"65ef70c396ce12ad90794e0c",38.67,6
"64bf45d69b7ac0499fa560c0",38.32,6
"63712568d55f5b4e9fb27669",38.28,6
"5bfcb29ee0bfd412a53dbd98",38.26,6
"5ee01bfa49d07313e82bace3",38.06,6
"6064e24ac0cdc509247993e3",37.98,6
"5fe9599721684312582ba188",37.94,6
"6063b55b876f256a9968c777",37.90,6
"60a92b740e83fe39e46c7806",37.80,6
"6650830a7c0469953bf99cea",37.04,6
"634c61093a4a3534d93505e1",37.04,6
"5ff9fda26359d01270ba5247",36.85,6
"6526a394bc349041b10662c6",36.84,6
"63d1f1513d310dceead2c7bf",36.82,6
"6205b8ca417a4139c47c6860",36.73,6
"63e741db18d26a8e6a59bddd",36.64,6
"5db1d5e6f310ed050b06d22c",36.60,6
"65d7cf8716cc39173212c802",36.41,6
"5c16e50fefb01c1db21ed147",36.28,6
"64510e0f8958f56ee7faa591",36.16,6
"6069e9cc5b7f2f0c646e7709",35.90,6
"5d97a1881750dd776dbecd7b",35.90,6
"660ac5956c91604202685b2f",35.86,6
"6175e2076e26844981443806",35.71,6
"61352e41abe3e23bf2f5af98",35.70,6
"64769793a55bb77a0e27c748",35.67,6
"60d091bf9f0da13ebf248a8c",35.38,6
"62aa700042adc08fd14b5571",34.98,6
"5fc433d789379a4a2061aba4",34.98,6
"61b290c598dc5e3b3563f484",34.91,6
"629110329caee24477f9fb8c",34.86,6
"6679d6ae86cc41b000cd0b06",34.79,6
"64860e1e9d0c925cdc8fc26e",34.57,6
"652aa73fbefaf7bae90fe106",34.56,6
"64735a1f7a342372c858fe6b",34.44,6
"61fae8c8ac4e5e6b50b44bbe",34.39,6
"647e25c97a342372c85af165",34.32,6
"63f164d7a4f8442c337ea25a",34.22,6
"5d322df6cbd2bb593e2ea3f6",34.21,6
"59826ce7e4b0707a7f8fea3e",34.17,6
"5f88622c697c00162f1a6418",34.06,6
